origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code+origin,#meta+has_hrp+origin,#meta+in_gho+origin,#country+code+asylum,#meta+has_hrp+asylum,#meta+in_gho+asylum,#population_group+code,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
AFG,True,True,NGA,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,m,18-59,18,59,5,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,m,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,NGA,True,True,REF,all,all,None,None,5,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,f,18-59,18,59,5,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,f,all,None,None,5,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,m,all,None,None,0,2020-01-01,2020-12-31
BEN,False,False,NGA,True,True,REF,all,all,None,None,5,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,f,0-4,0,4,11,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,f,5-11,5,11,40,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,f,12-17,12,17,25,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,f,18-59,18,59,97,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,f,60+,60,None,6,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,f,all,None,None,179,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,m,0-4,0,4,20,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,m,5-11,5,11,45,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,m,12-17,12,17,27,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,m,18-59,18,59,59,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,m,60+,60,None,5,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,m,all,None,None,156,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,ASY,all,all,None,None,335,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,REF,f,0-4,0,4,24,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,REF,f,5-11,5,11,70,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,REF,f,12-17,12,17,82,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,REF,f,18-59,18,59,222,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,REF,f,60+,60,None,13,2020-01-01,2020-12-31
CAF,True,True,NGA,True,True,REF,f,all,None,None,411,2020-01-01,2020-12-31
